SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GBX,2008-05-07,Greenbrier Companies Inc,NYSE,22.83
GBX,2008-05-08,Greenbrier Companies Inc,NYSE,23.06
GBX,2008-05-09,Greenbrier Companies Inc,NYSE,22.81
GBX,2008-05-12,Greenbrier Companies Inc,NYSE,23.9
GBX,2008-05-13,Greenbrier Companies Inc,NYSE,24.57
GBX,2008-05-14,Greenbrier Companies Inc,NYSE,24.01
GBX,2008-05-15,Greenbrier Companies Inc,NYSE,24.69
GBX,2008-05-16,Greenbrier Companies Inc,NYSE,24.08
GBX,2008-05-19,Greenbrier Companies Inc,NYSE,24.32
GBX,2008-05-20,Greenbrier Companies Inc,NYSE,24.04
GBX,2008-05-21,Greenbrier Companies Inc,NYSE,23.39
GBX,2008-05-22,Greenbrier Companies Inc,NYSE,23.79
GBX,2008-05-23,Greenbrier Companies Inc,NYSE,23.2
GBX,2008-05-27,Greenbrier Companies Inc,NYSE,23.93
GBX,2008-05-28,Greenbrier Companies Inc,NYSE,25.03
GBX,2008-05-29,Greenbrier Companies Inc,NYSE,25.32
GBX,2008-05-30,Greenbrier Companies Inc,NYSE,26.25
GBX,2008-06-02,Greenbrier Companies Inc,NYSE,25.55
GBX,2008-06-03,Greenbrier Companies Inc,NYSE,24.83
GBX,2008-06-04,Greenbrier Companies Inc,NYSE,25.08
GBX,2008-06-05,Greenbrier Companies Inc,NYSE,25.98
GBX,2008-06-06,Greenbrier Companies Inc,NYSE,24.76
GBX,2008-06-09,Greenbrier Companies Inc,NYSE,24.24
GBX,2008-06-10,Greenbrier Companies Inc,NYSE,24.25
GBX,2008-06-11,Greenbrier Companies Inc,NYSE,23.09
GBX,2008-06-12,Greenbrier Companies Inc,NYSE,21.37
GBX,2008-06-13,Greenbrier Companies Inc,NYSE,21.89
GBX,2008-06-16,Greenbrier Companies Inc,NYSE,21.8
GBX,2008-06-17,Greenbrier Companies Inc,NYSE,22.02
GBX,2008-06-18,Greenbrier Companies Inc,NYSE,21.6
GBX,2008-06-19,Greenbrier Companies Inc,NYSE,22.46
GBX,2008-06-20,Greenbrier Companies Inc,NYSE,21.87
GBX,2008-06-23,Greenbrier Companies Inc,NYSE,21.59
GBX,2008-06-24,Greenbrier Companies Inc,NYSE,20.98
GBX,2008-06-25,Greenbrier Companies Inc,NYSE,21.68
GBX,2008-06-26,Greenbrier Companies Inc,NYSE,20.26
GBX,2008-06-27,Greenbrier Companies Inc,NYSE,20.46
GBX,2008-06-30,Greenbrier Companies Inc,NYSE,20.3
GBX,2008-07-01,Greenbrier Companies Inc,NYSE,20.09
GBX,2008-07-02,Greenbrier Companies Inc,NYSE,18.97
GBX,2008-07-03,Greenbrier Companies Inc,NYSE,18.53
GBX,2008-07-07,Greenbrier Companies Inc,NYSE,18.94
GBX,2008-07-08,Greenbrier Companies Inc,NYSE,18.66
GBX,2008-07-09,Greenbrier Companies Inc,NYSE,18.23
GBX,2008-07-10,Greenbrier Companies Inc,NYSE,19.83
GBX,2008-07-11,Greenbrier Companies Inc,NYSE,19.9
GBX,2008-07-14,Greenbrier Companies Inc,NYSE,19.26
GBX,2008-07-15,Greenbrier Companies Inc,NYSE,18.55
GBX,2008-07-16,Greenbrier Companies Inc,NYSE,19.58
GBX,2008-07-17,Greenbrier Companies Inc,NYSE,20
GBX,2008-07-18,Greenbrier Companies Inc,NYSE,19.37
GBX,2008-07-21,Greenbrier Companies Inc,NYSE,19.62
GBX,2008-07-22,Greenbrier Companies Inc,NYSE,20.17
GBX,2008-07-23,Greenbrier Companies Inc,NYSE,20.75
GBX,2008-07-24,Greenbrier Companies Inc,NYSE,17.98
GBX,2008-07-25,Greenbrier Companies Inc,NYSE,19.3
GBX,2008-07-28,Greenbrier Companies Inc,NYSE,19.12
GBX,2008-07-29,Greenbrier Companies Inc,NYSE,20.58
GBX,2008-07-30,Greenbrier Companies Inc,NYSE,21.35
GBX,2008-07-31,Greenbrier Companies Inc,NYSE,20.93
GBX,2008-08-01,Greenbrier Companies Inc,NYSE,20.15
GBX,2008-08-04,Greenbrier Companies Inc,NYSE,18.85
GBX,2008-08-05,Greenbrier Companies Inc,NYSE,19.7
GBX,2008-08-06,Greenbrier Companies Inc,NYSE,19.81
GBX,2008-08-07,Greenbrier Companies Inc,NYSE,18.98
GBX,2008-08-08,Greenbrier Companies Inc,NYSE,19.75
GBX,2008-08-11,Greenbrier Companies Inc,NYSE,19.78
GBX,2008-08-12,Greenbrier Companies Inc,NYSE,19.34
GBX,2008-08-13,Greenbrier Companies Inc,NYSE,19.75
GBX,2008-08-14,Greenbrier Companies Inc,NYSE,20
GBX,2008-08-15,Greenbrier Companies Inc,NYSE,20.03
GBX,2008-08-18,Greenbrier Companies Inc,NYSE,19.79
GBX,2008-08-19,Greenbrier Companies Inc,NYSE,19.34
GBX,2008-08-20,Greenbrier Companies Inc,NYSE,19.61
GBX,2008-08-21,Greenbrier Companies Inc,NYSE,19.21
GBX,2008-08-22,Greenbrier Companies Inc,NYSE,19.74
GBX,2008-08-25,Greenbrier Companies Inc,NYSE,19.04
GBX,2008-08-26,Greenbrier Companies Inc,NYSE,19.36
GBX,2008-08-27,Greenbrier Companies Inc,NYSE,19.94
GBX,2008-08-28,Greenbrier Companies Inc,NYSE,20.33
